"";"ref.date";"ticker";"price.adjusted"
"1";2018-01-03;"BOVA11.SA";75,300003
"2";2018-01-04;"BOVA11.SA";76
"3";2018-01-05;"BOVA11.SA";76,440002
"4";2018-01-08;"BOVA11.SA";76,760002
"5";2018-01-09;"BOVA11.SA";76,160004
"6";2018-01-10;"BOVA11.SA";75,599998
"7";2018-01-11;"BOVA11.SA";76,660004
"8";2018-01-12;"BOVA11.SA";76,669998
"9";2018-01-15;"BOVA11.SA";77,07
"10";2018-01-16;"BOVA11.SA";77,059998
"11";2018-01-17;"BOVA11.SA";78,410004
"12";2018-01-18;"BOVA11.SA";78,099998
"13";2018-01-19;"BOVA11.SA";78,419998
"14";2018-01-22;"BOVA11.SA";78,839996
"15";2018-01-23;"BOVA11.SA";77,910004
"16";2018-01-24;"BOVA11.SA";80,830002
"17";2018-01-25;"BOVA11.SA";80,830002
"18";2018-01-26;"BOVA11.SA";82,650002
"19";2018-01-29;"BOVA11.SA";81,779999
"20";2018-01-30;"BOVA11.SA";81,610001
"21";2018-01-31;"BOVA11.SA";82
"22";2018-02-01;"BOVA11.SA";82,550003
"23";2018-02-02;"BOVA11.SA";81,239998
"24";2018-02-05;"BOVA11.SA";79,199997
"25";2018-02-06;"BOVA11.SA";81,150002
"26";2018-02-07;"BOVA11.SA";79,959999
"27";2018-02-08;"BOVA11.SA";78,699997
"28";2018-02-09;"BOVA11.SA";78,169998
"29";2018-02-14;"BOVA11.SA";80,599998
"30";2018-02-15;"BOVA11.SA";81,400002
"31";2018-02-16;"BOVA11.SA";81,559998
"32";2018-02-19;"BOVA11.SA";81,860001
"33";2018-02-20;"BOVA11.SA";82,940002
"34";2018-02-21;"BOVA11.SA";83,040001
"35";2018-02-22;"BOVA11.SA";83,75
"36";2018-02-23;"BOVA11.SA";84,290001
"37";2018-02-26;"BOVA11.SA";84,720001
"38";2018-02-27;"BOVA11.SA";84,089996
"39";2018-02-28;"BOVA11.SA";82,5
"40";2018-03-01;"BOVA11.SA";82,519997
"41";2018-03-02;"BOVA11.SA";82,949997
"42";2018-03-05;"BOVA11.SA";82,900002
"43";2018-03-06;"BOVA11.SA";82,690002
"44";2018-03-07;"BOVA11.SA";82,599998
"45";2018-03-08;"BOVA11.SA";82,139999
"46";2018-03-09;"BOVA11.SA";83,400002
"47";2018-03-12;"BOVA11.SA";83,949997
"48";2018-03-13;"BOVA11.SA";83,5
"49";2018-03-14;"BOVA11.SA";83,139999
"50";2018-03-15;"BOVA11.SA";82,07
"51";2018-03-16;"BOVA11.SA";82,010002
"52";2018-03-19;"BOVA11.SA";81,089996
"53";2018-03-20;"BOVA11.SA";81,400002
"54";2018-03-21;"BOVA11.SA";82,089996
"55";2018-03-22;"BOVA11.SA";81,790001
"56";2018-03-23;"BOVA11.SA";81,580002
"57";2018-03-26;"BOVA11.SA";82,230003
"58";2018-03-27;"BOVA11.SA";80,980003
"59";2018-03-28;"BOVA11.SA";81,019997
"60";2018-03-29;"BOVA11.SA";82,43
"61";2018-04-02;"BOVA11.SA";81,849998
"62";2018-04-03;"BOVA11.SA";81,75
"63";2018-04-04;"BOVA11.SA";81,400002
"64";2018-04-05;"BOVA11.SA";82,370003
"65";2018-04-06;"BOVA11.SA";81,940002
"66";2018-04-09;"BOVA11.SA";80,419998
"67";2018-04-10;"BOVA11.SA";81,559998
"68";2018-04-11;"BOVA11.SA";82,449997
"69";2018-04-12;"BOVA11.SA";82,43
"70";2018-04-13;"BOVA11.SA";81,300003
"71";2018-04-16;"BOVA11.SA";79,980003
"72";2018-04-17;"BOVA11.SA";81,110001
"73";2018-04-18;"BOVA11.SA";82,699997
"74";2018-04-19;"BOVA11.SA";82,900002
"75";2018-04-20;"BOVA11.SA";82,739998
"76";2018-04-23;"BOVA11.SA";82,699997
"77";2018-04-24;"BOVA11.SA";82,480003
"78";2018-04-25;"BOVA11.SA";82,080002
"79";2018-04-26;"BOVA11.SA";83,510002
"80";2018-04-27;"BOVA11.SA";83,470001
"81";2018-04-30;"BOVA11.SA";83,18
"82";2018-05-02;"BOVA11.SA";81,709999
"83";2018-05-03;"BOVA11.SA";80,489998
"84";2018-05-04;"BOVA11.SA";80,260002
"85";2018-05-07;"BOVA11.SA";79,82
"86";2018-05-08;"BOVA11.SA";80,220001
"87";2018-05-09;"BOVA11.SA";81,349998
"88";2018-05-10;"BOVA11.SA";82,870003
"89";2018-05-11;"BOVA11.SA";82,290001
"90";2018-05-14;"BOVA11.SA";82,389999
"91";2018-05-15;"BOVA11.SA";82,209999
"92";2018-05-16;"BOVA11.SA";83,419998
"93";2018-05-17;"BOVA11.SA";80,779999
"94";2018-05-18;"BOVA11.SA";80,209999
"95";2018-05-21;"BOVA11.SA";79,199997
"96";2018-05-22;"BOVA11.SA";80
"97";2018-05-23;"BOVA11.SA";78,25
"98";2018-05-24;"BOVA11.SA";77,449997
"99";2018-05-25;"BOVA11.SA";77,449997
"100";2018-05-28;"BOVA11.SA";72,690002
"101";2018-05-29;"BOVA11.SA";73,400002
"102";2018-05-30;"BOVA11.SA";74,07
"103";2018-06-01;"BOVA11.SA";74,620003
"104";2018-06-04;"BOVA11.SA";75,849998
"105";2018-06-05;"BOVA11.SA";74,099998
"106";2018-06-06;"BOVA11.SA";73,470001
"107";2018-06-07;"BOVA11.SA";71,370003
